,a,about,above,across,after,afterwards,again,against,all,almost,alone,along,already,also,although,always,am,among,amongst,amount,an,and,another,any,anyhow,anyone,anything,anyway,anywhere,are,around,as,at,back,be,became,because,become,becomes,becoming,been,before,behind,being,below,beside,besides,between,beyond,both,bottom,but,by,ca,call,can,could,did,do,does,doing,done,down,due,during,each,eight,either,eleven,else,elsewhere,empty,enough,even,ever,every,everyone,everything,everywhere,except,few,fifteen,fifty,first,five,for,former,formerly,forty,four,from,front,full,further,get,give,go,had,has,have,he,hence,her,here,hereafter,hereby,hers,herself,him,himself,his,how,however,hundred,i,if,in,indeed,into,is,it,its,itself,just,keep,last,latter,least,less,made,make,many,may,me,meanwhile,might,mine,more,moreover,most,mostly,move,much,must,my,myself,name,neither,never,nevertheless,next,nine,no,nobody,none,nor,not,nothing,now,nowhere,of,off,often,on,once,one,only,onto,or,other,others,otherwise,our,ours,ourselves,out,over,own,part,per,perhaps,please,put,quite,rather,re,really,regarding,same,say,see,seem,seemed,seeming,seems,serious,several,she,should,show,side,since,six,sixty,so,some,somehow,someone,something,sometime,sometimes,somewhere,still,such,take,ten,than,that,the,their,them,themselves,then,there,thereafter,thereby,therefore,therein,thereupon,these,they,third,this,those,though,three,through,throughout,thus,to,together,too,top,toward,towards,twelve,twenty,two,under,unless,until,up,upon,us,used,using,various,very,was,we,well,were,what,whatever,when,whence,whenever,where,whereas,wherein,whereupon,wherever,whether,which,while,whither,who,whoever,whole,whom,whose,why,will,with,within,without,would,yet,you,your,yours,yourself,yourselves,tbook,author
10,55,6,0,0,3,0,2,0,7,2,0,1,2,0,0,2,1,1,0,0,2,65,0,2,0,0,2,0,0,1,2,13,16,3,7,0,1,0,0,0,3,4,1,1,1,1,0,1,0,1,1,14,4,0,1,2,10,2,8,0,0,1,2,0,0,1,0,0,0,0,0,0,5,1,2,1,1,0,0,0,0,0,0,4,0,14,0,0,0,0,10,0,1,0,1,0,5,9,1,2,33,0,5,3,0,0,0,0,9,4,22,1,0,0,31,9,22,0,7,5,20,2,1,2,0,1,0,1,0,3,2,1,0,4,0,1,0,5,0,1,0,1,4,1,4,0,0,1,2,0,2,3,2,0,1,1,11,1,3,0,31,7,0,14,1,2,2,0,1,2,1,1,0,0,0,4,3,0,0,0,0,0,5,2,2,0,0,0,0,1,3,0,1,0,0,0,1,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,2,2,1,1,5,15,116,4,4,0,5,4,1,0,0,0,0,2,9,0,6,1,0,1,5,0,0,44,0,1,1,1,0,0,0,0,6,0,0,11,2,1,0,0,1,3,16,5,2,7,6,0,6,0,0,1,0,0,0,0,1,0,4,0,3,0,0,1,0,4,4,14,0,1,3,0,24,2,0,0,0,Cowardly_lion_of_oz,T
11,51,8,0,0,6,0,2,0,8,1,0,1,2,0,0,3,2,0,0,0,2,67,3,2,1,0,2,0,0,2,0,13,10,9,7,0,0,0,0,0,1,4,0,1,0,1,0,0,0,1,0,7,3,0,1,1,8,3,8,0,1,3,5,0,0,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,3,0,0,4,0,15,0,0,0,1,4,0,0,0,2,0,6,15,1,7,33,0,2,2,0,0,0,0,12,1,24,2,0,1,27,5,24,0,4,4,22,2,0,4,1,1,0,0,1,3,0,2,2,3,0,1,0,3,0,1,0,2,0,1,0,0,1,1,7,0,2,0,2,1,0,2,10,1,7,0,42,1,1,11,1,4,4,0,1,2,1,0,0,0,0,6,1,1,0,0,0,1,2,1,2,0,0,0,2,1,3,1,1,0,0,0,0,4,0,1,1,1,0,0,9,0,0,0,1,0,0,0,0,0,3,0,1,22,110,5,3,1,4,11,0,0,0,0,0,3,11,0,7,0,2,1,1,0,0,40,2,3,1,0,0,0,0,3,1,0,3,9,3,4,0,0,1,3,20,4,5,4,4,0,3,0,0,1,0,0,0,0,2,1,2,0,2,0,1,1,1,2,4,12,0,3,1,0,18,3,1,0,0,Cowardly_lion_of_oz,T
12,47,1,0,0,1,0,2,1,7,1,0,0,1,1,0,1,2,1,0,0,3,65,1,5,0,0,0,0,0,8,2,17,18,6,6,0,1,0,1,0,0,2,1,3,0,2,0,0,0,1,0,11,4,0,1,3,4,5,8,2,0,0,7,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,4,1,10,0,0,0,1,10,0,0,0,2,0,5,10,0,5,32,0,2,2,0,0,0,0,7,2,32,3,0,0,21,5,23,0,1,9,20,3,0,6,1,3,0,0,0,5,0,2,0,4,0,1,0,3,0,0,0,1,1,2,3,1,1,1,4,0,1,3,6,0,0,0,16,3,10,0,27,2,0,9,0,5,2,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,1,2,0,0,0,0,2,1,1,2,1,0,0,8,1,0,0,1,0,0,0,1,1,3,0,2,16,117,4,4,1,6,7,1,0,0,0,0,1,12,0,8,0,0,1,4,0,0,48,2,5,0,1,1,0,0,2,4,1,1,8,3,2,0,0,0,4,19,6,4,3,2,0,6,0,0,1,0,0,0,0,0,1,3,0,4,0,1,0,0,5,4,16,0,0,4,0,21,3,0,0,0,Cowardly_lion_of_oz,T
13,36,5,0,0,3,0,0,1,10,4,0,2,0,0,0,1,1,0,0,0,1,65,2,2,0,2,0,0,0,5,1,16,7,8,8,0,1,1,0,0,3,1,1,0,0,0,1,1,0,3,0,15,6,0,1,3,3,2,6,1,0,0,7,0,0,0,0,0,0,1,0,0,1,3,2,6,0,0,0,0,3,0,0,2,0,10,0,0,0,0,5,0,0,1,0,0,1,19,3,3,37,0,2,3,0,0,0,0,9,3,26,0,0,0,25,4,27,0,4,7,13,3,1,1,1,1,0,0,0,2,1,1,0,6,0,1,0,3,0,1,1,1,1,1,6,0,1,0,3,0,2,3,7,0,0,0,8,0,3,0,38,2,0,11,0,8,3,0,3,2,1,0,0,0,0,8,6,0,0,0,0,0,0,4,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,1,1,0,0,11,2,0,0,0,0,0,0,1,1,0,0,1,8,123,4,5,0,5,6,0,0,0,0,0,1,8,1,12,0,1,5,4,0,0,41,0,2,3,0,0,0,0,2,0,0,1,14,1,4,0,0,0,1,13,8,6,10,6,0,6,0,0,3,0,0,0,0,1,1,2,0,9,0,2,0,0,5,3,19,0,0,5,1,17,6,0,0,0,Cowardly_lion_of_oz,T
14,40,0,0,0,2,0,0,0,10,1,0,0,3,0,0,1,0,0,0,0,3,65,1,0,0,0,1,0,0,7,2,18,11,2,3,1,0,0,0,0,4,2,1,3,0,1,0,0,0,1,1,16,5,0,2,5,6,4,7,1,1,2,6,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3,0,15,0,0,0,1,6,0,0,0,2,0,2,13,1,6,29,0,3,2,0,0,0,0,7,0,35,1,1,1,21,4,19,0,6,6,22,4,0,1,0,2,0,0,0,3,1,0,0,2,0,4,0,2,0,2,0,1,1,4,7,0,0,0,5,0,3,2,4,0,0,0,6,3,5,0,32,6,1,16,1,6,1,0,2,4,0,0,0,0,0,4,6,0,0,0,0,0,1,3,1,0,0,1,1,1,3,1,0,0,0,0,0,3,0,0,0,0,1,0,12,1,0,0,0,0,0,0,1,0,3,0,2,15,126,5,4,0,2,6,0,0,0,0,0,1,11,0,6,0,1,1,6,0,1,51,1,4,1,2,0,0,1,4,3,0,2,11,3,5,1,0,0,3,15,9,1,7,5,0,3,0,0,1,0,0,0,0,0,0,1,0,6,0,2,1,0,3,2,10,0,1,2,1,26,1,0,1,0,Cowardly_lion_of_oz,T
15,37,8,1,1,2,0,2,0,6,0,0,5,3,0,0,0,1,0,0,0,0,70,1,3,0,2,0,0,0,5,0,17,14,6,5,1,3,0,0,0,4,5,1,3,0,2,0,0,0,3,1,14,4,1,1,4,7,4,6,0,0,1,4,0,0,3,0,1,0,0,0,0,3,2,1,2,0,1,0,0,0,0,0,4,0,10,0,0,0,0,8,1,0,0,0,0,4,16,0,2,32,0,3,2,0,0,0,0,9,2,27,2,0,0,25,5,33,0,1,10,10,3,0,3,0,1,0,0,0,3,2,0,1,6,0,3,0,5,0,0,0,0,2,1,2,1,1,1,2,0,1,0,5,0,0,2,12,1,4,0,25,4,0,9,0,5,3,0,0,4,1,2,0,0,1,10,1,0,0,0,2,0,1,2,1,0,1,0,1,5,3,0,1,0,0,0,0,0,1,1,3,0,0,0,10,5,0,0,1,0,0,0,0,1,3,0,5,11,114,7,3,0,4,2,0,0,0,0,0,1,6,0,9,0,1,3,1,0,0,43,3,3,1,1,0,0,0,3,1,1,1,11,0,4,0,0,0,1,19,5,4,9,9,0,2,0,0,1,0,0,0,0,0,1,3,0,5,0,0,1,0,2,5,18,0,3,1,0,22,4,0,0,0,Cowardly_lion_of_oz,T
16,49,3,0,1,3,0,4,1,5,0,0,2,2,0,0,1,0,0,0,0,3,67,1,0,0,0,0,0,0,2,1,13,13,3,9,0,1,2,0,0,4,4,0,4,1,4,0,0,0,2,0,10,1,1,1,3,2,1,8,0,0,1,7,0,0,1,0,0,0,2,0,0,1,4,3,0,1,2,0,0,2,0,0,4,0,16,0,0,0,0,7,0,0,1,1,2,2,14,0,9,35,0,2,1,0,0,0,0,5,6,31,3,0,0,21,7,23,0,5,4,12,3,0,4,2,0,0,0,0,3,1,3,0,3,0,2,0,3,0,1,0,0,0,3,3,1,0,2,2,0,1,1,7,0,0,0,1,0,6,0,36,4,0,15,2,6,1,0,1,4,3,0,1,0,0,5,7,1,0,0,1,0,1,2,0,0,0,0,0,2,3,0,1,0,0,0,0,5,2,1,0,0,0,0,5,2,0,0,1,0,0,0,2,1,0,0,1,24,115,3,7,0,5,7,0,0,0,0,0,0,9,0,10,0,1,1,6,0,0,47,4,1,2,2,0,0,0,1,1,0,2,9,1,0,0,0,1,0,17,7,4,13,6,0,7,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,5,3,15,0,0,3,0,17,2,0,0,0,Cowardly_lion_of_oz,T
17,41,5,1,0,6,0,7,1,9,0,0,1,3,1,0,0,1,0,0,0,2,53,2,2,0,1,0,0,0,4,4,11,12,6,11,0,0,0,0,0,3,4,1,1,0,1,0,1,0,1,0,8,7,0,1,1,6,3,12,1,0,0,7,0,0,0,0,0,0,1,0,0,1,2,1,1,1,1,0,0,1,0,0,4,0,19,0,0,0,0,8,1,2,0,0,0,2,15,2,6,27,0,1,4,0,0,0,0,5,5,21,2,0,0,18,2,23,0,1,9,11,2,0,2,0,0,0,0,0,4,1,0,0,7,0,1,0,4,0,0,0,0,0,2,3,1,0,0,2,0,2,1,10,1,0,0,9,2,1,0,44,4,1,13,1,7,0,0,4,7,2,0,0,0,0,7,8,0,2,0,0,0,0,3,1,0,1,0,1,1,2,1,2,0,0,0,1,0,3,0,0,2,0,0,8,0,0,0,0,0,0,0,2,1,3,0,3,16,121,1,3,1,4,6,0,0,0,0,0,0,11,1,11,0,2,1,2,0,0,42,0,1,1,1,0,0,1,0,4,0,1,11,2,4,0,0,0,4,19,9,2,8,10,1,5,0,0,3,0,0,0,0,1,3,5,0,2,0,0,0,0,3,3,14,0,1,4,1,21,3,0,1,0,Cowardly_lion_of_oz,T
18,47,4,1,0,2,0,1,0,12,2,1,1,1,2,0,0,4,0,0,0,5,60,3,1,1,0,1,0,0,4,2,16,21,6,5,0,1,0,0,0,5,0,1,1,0,2,2,0,0,0,1,15,2,0,1,4,2,3,7,0,1,0,10,0,0,0,0,0,0,0,0,0,2,2,1,2,0,1,0,0,0,0,0,0,0,8,0,0,0,0,1,0,1,1,2,0,3,14,0,4,33,0,7,2,0,0,0,0,7,3,33,2,0,0,26,5,24,0,2,7,19,2,1,3,2,1,0,0,0,4,1,1,1,1,1,0,0,2,0,1,0,0,0,1,9,1,1,0,3,0,2,1,10,1,0,0,8,0,4,0,35,1,1,12,1,6,3,0,2,3,0,0,1,0,0,11,3,2,2,0,0,2,0,0,1,0,1,0,1,2,2,0,0,0,0,0,0,3,1,1,1,1,0,0,7,1,0,1,1,0,0,0,2,0,1,1,2,20,116,4,7,1,3,5,0,0,0,0,0,2,7,1,8,0,5,1,4,0,0,46,0,3,3,4,0,0,0,2,0,0,0,6,0,1,1,0,0,3,15,5,0,7,4,0,6,0,0,3,0,0,0,0,0,2,1,0,8,0,2,1,0,0,4,17,0,1,3,0,15,2,0,1,0,Cowardly_lion_of_oz,T
19,42,3,0,0,2,0,0,0,10,1,1,1,1,0,0,0,0,0,0,0,6,61,3,2,0,0,0,1,0,6,0,26,13,5,9,0,1,0,0,0,3,1,1,0,0,1,0,1,0,0,0,17,4,1,1,2,7,3,8,0,1,0,3,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,1,0,15,0,0,0,3,0,0,0,0,1,1,2,15,3,8,37,0,2,4,0,0,0,0,9,0,31,1,0,0,23,8,22,0,6,7,21,3,0,2,2,3,0,1,0,5,0,0,0,4,1,0,0,1,0,0,0,0,1,1,7,1,0,2,2,0,0,1,2,1,0,1,10,2,2,0,33,3,1,12,0,3,1,0,1,1,0,0,0,0,0,6,3,1,0,1,1,0,2,0,0,0,0,0,2,1,1,0,1,0,0,0,0,1,0,2,4,0,0,0,5,1,0,1,1,0,0,0,4,1,3,0,1,20,115,2,6,0,4,5,0,0,0,0,0,1,11,0,10,1,1,3,3,0,0,46,2,1,1,2,0,0,0,3,2,0,2,10,0,3,0,0,0,4,33,10,4,10,5,1,1,0,0,2,0,0,0,0,0,0,2,0,2,0,2,2,0,5,3,7,0,1,5,0,17,2,0,0,0,Cowardly_lion_of_oz,T
