token_ID_within_document,word,lemma,before,after
286,at,at,#, 
287,birth,birth,#,#
288,.,.,#, 
289,And,and,#,#
290,",",",",#, 
291,after,after,#, 
292,boasting,boast,#, 
293,this,this,#, 
294,way,way,#, 
295,of,of,#, 
296,my,my,#, 
297,tolerance,tolerance,#,#
298,",",",",#, 
299,I,I,#, 
300,come,come,#, 
301,to,to,#, 
302,the,the,#, 
303,admission,admission,#, 
304,that,that,#, 
305,it,it,#, 
306,has,have,#, 
307,a,a,#, 
308,limit,limit,#,#
309,.,.,#, 
310,Conduct,Conduct,#, 
311,may,may,#, 
312,be,be,#, 
313,founded,found,#, 
314,on,on,#, 
315,the,the,#, 
316,hard,hard,#, 
317,rock,rock,#, 
318,or,or,#, 
319,the,the,#, 
320,wet,wet,#, 
321,marshes,marsh,#,#
322,",",",",#, 
323,but,but,#, 
324,after,after,#, 
325,a,a,#, 
326,certain,certain,#, 
327,point,point,#, 
328,I,I,#, 
329,do,do,#,#
330,n’t,not,#, 
331,care,care,#, 
332,what,what,#, 
333,it,it,#,#
334,’s,’s,#, 
335,founded,found,#, 
336,on,on,#,#
337,.,.,#, 
338,When,when,#, 
339,I,I,#, 
340,came,come,#, 
341,back,back,#, 
342,from,from,#, 
343,the,the,#, 
344,East,East,#, 
345,last,last,#, 
346,autumn,autumn,#, 
347,I,I,#, 
348,felt,feel,#, 
349,that,that,#, 
350,I,I,#, 
351,wanted,want,#, 
352,the,the,#, 
353,world,world,#, 
354,to,to,#, 
355,be,be,#, 
356,in,in,#, 
357,uniform,uniform,#, 
358,and,and,#, 
359,at,at,#, 
360,a,a,#, 
361,sort,sort,#, 
362,of,of,#, 
363,moral,moral,#, 
364,attention,attention,#, 
365,forever,forever,#,#
366,;,;,#, 
367,I,I,#, 
368,wanted,want,#, 
369,no,no,#, 
370,more,more,#, 
371,riotous,riotous,#, 
372,excursions,excursion,#, 
373,with,with,#, 
374,privileged,privileged,#, 
375,glimpses,glimpse,#, 
376,into,into,#, 
377,the,the,#, 
378,human,human,#, 
379,heart,heart,#,#
380,.,.,#, 
381,Only,only,#, 
382,Gatsby,Gatsby,#,#
383,",",",",#, 
384,the,the,#, 
385,man,man,#, 
386,who,who,#, 
387,gives,give,#, 
388,his,his,#, 
389,name,name,#, 
390,to,to,#, 
391,this,this,#, 
392,book,book,#,#
393,",",",",#, 
394,was,be,#, 
395,exempt,exempt,#, 
396,from,from,#, 
397,my,my,#, 
398,reaction,reaction,#,#
399,-,-,#,#
400,Gatsby,Gatsby,#,#
401,",",",",#, 
402,who,who,#, 
403,represented,represent,#, 
404,everything,everything,#, 
405,for,for,#, 
406,which,which,#, 
407,I,I,#, 
408,have,have,#, 
409,an,an,#, 
410,unaffected,unaffected,#, 
411,scorn,scorn,#,#
412,.,.,#, 
413,If,if,#, 
414,personality,personality,#, 
415,is,be,#, 
416,an,an,#, 
417,unbroken,unbroken,#, 
418,series,series,#, 
419,of,of,#, 
420,successful,successful,#, 
421,gestures,gesture,#,#
422,",",",",#, 
423,then,then,#, 
424,there,there,#, 
425,was,be,#, 
426,something,something,#, 
427,gorgeous,gorgeous,#, 
428,about,about,#, 
429,him,he,#,#
430,",",",",#, 
431,some,some,#, 
432,heightened,heightened,#, 
433,sensitivity,sensitivity,#, 
434,to,to,#, 
435,the,the,#, 
436,promises,promise,#, 
437,of,of,#, 
438,life,life,#,#
439,",",",",#, 
440,as,as,#, 
441,if,if,#, 
442,he,he,#, 
443,were,be,#, 
444,related,relate,#, 
445,to,to,#, 
446,one,one,#, 
447,of,of,#, 
448,those,those,#, 
449,intricate,intricate,#, 
450,machines,machine,#, 
451,that,that,#, 
452,register,register,#, 
453,earthquakes,earthquake,#, 
454,ten,ten,#, 
455,thousand,thousand,#, 
456,miles,mile,#, 
457,away,away,#,#
458,.,.,#, 
459,This,this,#, 
460,responsiveness,responsiveness,#, 
461,had,have,#, 
462,nothing,nothing,#, 
463,to,to,#, 
464,do,do,#, 
465,with,with,#, 
466,that,that,#, 
467,flabby,flabby,#, 
468,impressionability,impressionability,#, 
469,which,which,#, 
470,is,be,#, 
471,dignified,dignified,#, 
472,under,under,#, 
473,the,the,#, 
474,name,name,#, 
475,of,of,#, 
476,the,the,#, 
477,"""",2415,#,#
478,creative,creative,#, 
479,temperament,temperament,#,#
480,"""",2436,#, 
481,-it,-it,#, 
482,was,be,#, 
483,an,an,#, 
484,extraordinary,extraordinary,#, 
485,gift,gift,#, 
486,for,for,#, 
487,hope,hope,#,#
488,",",",",#, 
489,a,a,#, 
490,romantic,romantic,#, 
491,readiness,readiness,#, 
492,such,such,#, 
493,as,as,#, 
494,I,I,#, 
495,have,have,#, 
496,never,never,#, 
497,found,find,#, 
498,in,in,#, 
499,any,any,#, 
500,other,other,#, 
501,person,person,#, 
502,and,and,#, 
503,which,which,#, 
504,it,it,#, 
505,is,be,#, 
506,not,not,#, 
507,likely,likely,#, 
508,I,I,#, 
509,shall,shall,#, 
510,ever,ever,#, 
511,find,find,#, 
512,again,again,#,#
513,.,.,#, 
514,No,no,#,#
515,-,-,#,#
516,Gatsby,Gatsby,#, 
517,turned,turn,#, 
518,out,out,#, 
519,all,all,#, 
520,right,right,#, 
521,at,at,#, 
522,the,the,#, 
523,end,end,#,#
524,;,;,#, 
525,it,it,#, 
526,is,be,#, 
527,what,what,#, 
528,preyed,prey,#, 
529,on,on,#, 
530,Gatsby,Gatsby,#,#
531,",",",",#, 
532,what,what,#, 
533,foul,foul,#, 
534,dust,dust,#, 
535,floated,float,#, 
536,in,in,#, 
537,the,the,#, 
538,wake,wake,#, 
539,of,of,#, 
540,his,his,#, 
541,dreams,dream,#, 
542,that,that,#, 
543,temporarily,temporarily,#, 
544,closed,close,#, 
545,out,out,#, 
546,my,my,#, 
547,interest,interest,#, 
548,in,in,#, 
549,the,the,#, 
550,abortive,abortive,#, 
551,sorrows,sorrow,#, 
552,and,and,#, 
553,short,short,#,#
554,-,-,#,#
555,winded,wind,#, 
556,elations,elation,#, 
557,of,of,#, 
558,men,man,#,#
559,.,.,#, 
560,My,my,#, 
561,family,family,#, 
562,have,have,#, 
563,been,be,#, 
564,prominent,prominent,#,#
565,",",",",#, 
566,well,well,#,#
567,-,-,#,#
568,to,to,#,#
569,-,-,#,#
570,do,do,#, 
571,people,people,#, 
572,in,in,#, 
573,this,this,#, 
574,Middle,middle,#, 
575,Western,western,#, 
576,city,city,#, 
577,for,for,#, 
578,three,three,#, 
579,generations,generation,#,#
580,.,.,#, 
581,The,the,#, 
582,Carraways,Carraways,#, 
583,are,be,#, 
584,something,something,#, 
585,of,of,#, 
586,a,a,#, 
587,clan,clan,#,#
588,",",",",#, 
589,and,and,#, 
590,we,we,#, 
591,have,have,#, 
592,a,a,#, 
593,tradition,tradition,#, 
594,that,that,#, 
595,we,we,#,#
596,’re,’re,#, 
597,descended,descend,#, 
598,from,from,#, 
599,the,the,#, 
600,Dukes,duke,#, 
601,of,of,#, 
602,Buccleuch,Buccleuch,#,#
603,",",",",#, 
604,but,but,#, 
605,the,the,#, 
606,actual,actual,#, 
607,founder,founder,#, 
608,of,of,#, 
609,my,my,#, 
610,line,line,#, 
611,was,be,#, 
612,my,my,#, 
613,grandfather,grandfather,#,#
614,’s,’s,#, 
615,brother,brother,#,#
616,",",",",#, 
617,who,who,#, 
618,came,come,#, 
619,here,here,#, 
620,in,in,#, 
621,fifty,fifty,#,#
622,-,-,#,#
623,one,one,#,#
624,",",",",#, 
625,sent,send,#, 
626,a,a,#, 
627,substitute,substitute,#, 
628,to,to,#, 
629,the,the,#, 
630,Civil,Civil,#, 
631,War,War,#,#
632,",",",",#, 
633,and,and,#, 
634,started,start,#, 
635,the,the,#, 
636,wholesale,wholesale,#, 
637,hardware,hardware,#, 
638,business,business,#, 
639,that,that,#, 
640,my,my,#, 
641,father,father,#, 
642,carries,carry,#, 
643,on,on,#, 
644,today,today,#,#
645,.,.,#, 
646,I,I,#, 
647,never,never,#, 
648,saw,see,#, 
649,this,this,#, 
650,great,great,#,#
651,-,-,#,#
652,uncle,uncle,#,#
653,",",",",#, 
654,but,but,#, 
655,I,I,#,#
656,’m,’m,#, 
657,supposed,suppose,#, 
658,to,to,#, 
659,look,look,#, 
660,like,like,#, 
661,him,he,#,#
662,-,-,#,#
663,with,with,#, 
664,special,special,#, 
665,reference,reference,#, 
666,to,to,#, 
667,the,the,#, 
668,rather,rather,#, 
669,hard,hard,#,#
670,-,-,#,#
671,boiled,boiled,#, 
672,painting,painting,#, 
673,that,that,#, 
674,hangs,hang,#, 
675,in,in,#, 
676,father,father,#,#
677,’s,’s,#, 
678,office,office,#,#
679,.,.,#, 
680,I,I,#, 
681,graduated,graduate,#, 
682,from,from,#, 
683,New,New,#, 
684,Haven,Haven,#, 
685,in,in,#, 
686,1915,1915,#,#
687,",",",",#, 
688,just,just,#, 
689,a,a,#, 
690,quarter,quarter,#, 
691,of,of,#, 
692,a,a,#, 
693,century,century,#, 
694,after,after,#, 
695,my,my,#, 
696,father,father,#,#
697,",",",",#, 
698,and,and,#, 
699,a,a,#, 
700,little,little,#, 
701,later,later,#, 
702,I,I,#, 
703,participated,participate,#, 
704,in,in,#, 
705,that,that,#, 
706,delayed,delay,#, 
707,Teutonic,teutonic,#, 
708,migration,migration,#, 
709,known,know,#, 
710,as,as,#, 
711,the,the,#, 
712,Great,Great,#, 
713,War,War,#,#
714,.,.,#, 
715,I,I,#, 
716,enjoyed,enjoy,#, 
717,the,the,#, 
718,counter,counter,#,#
719,-,-,#,#
720,raid,raid,#, 
721,so,so,#, 
722,thoroughly,thoroughly,#, 
723,that,that,#, 
724,I,I,#, 
725,came,come,#, 
726,back,back,#, 
727,restless,restless,#,#
728,.,.,#, 
729,Instead,instead,#, 
730,of,of,#, 
731,being,be,#, 
732,the,the,#, 
733,warm,warm,#, 
734,centre,centre,#, 
735,of,of,#, 
736,the,the,#, 
737,world,world,#,#
738,",",",",#, 
739,the,the,#, 
740,Middle,Middle,#, 
741,West,West,#, 
742,now,now,#, 
743,seemed,seem,#, 
744,like,like,#, 
745,the,the,#, 
746,ragged,ragged,#, 
747,edge,edge,#, 
748,of,of,#, 
749,the,the,#, 
750,universe,universe,#,#
751,-,-,#,#
752,so,so,#, 
753,I,I,#, 
754,decided,decide,#, 
755,to,to,#, 
756,go,go,#, 
757,East,East,#, 
758,and,and,#, 
759,learn,learn,#, 
760,the,the,#, 
761,bond,bond,#, 
762,business,business,#,#
763,.,.,#, 
764,Everybody,everybody,#, 
765,I,I,#, 
766,knew,know,#, 
767,was,be,#, 
768,in,in,#, 
769,the,the,#, 
770,bond,bond,#, 
771,business,business,#,#
772,",",",",#, 
773,so,so,#, 
774,I,I,#, 
775,supposed,suppose,#, 
776,it,it,#, 
777,could,could,#, 
778,support,support,#, 
779,one,one,#, 
780,more,more,#, 
781,single,single,#, 
782,man,man,#,#
783,.,.,#, 
784,All,all,#, 
785,my,my,#, 
786,aunts,aunt,#, 
787,and,and,#, 
788,uncles,uncle,#, 
789,talked,talk,#, 
790,it,it,#, 
791,over,over,#, 
792,as,as,#, 
793,if,if,#, 
794,they,they,#, 
795,were,be,#, 
796,choosing,choose,#, 
797,a,a,#, 
798,prep,prep,#, 
799,school,school,#, 
800,for,for,#, 
801,me,I,#,#
802,",",",",#, 
803,and,and,#, 
804,finally,finally,#, 
805,said,say,#,#
806,",",",",#, 
807,"""",3993,#,#
808,Why,why,#,#
809,-,-,#,#
810,ye,ye,#,#
811,-,-,#,#
812,es,es,#,#
813,",",",",#,#
814,"""",4004,#, 
815,with,with,#, 
816,very,very,#, 
817,grave,grave,#,#
818,",",",",#, 
819,hesitant,hesitant,#, 
820,faces,face,#,#
821,.,.,#, 
822,Father,Father,#, 
823,agreed,agree,#, 
824,to,to,#, 
825,finance,finance,#, 
826,me,I,#, 
827,for,for,#, 
828,a,a,#, 
829,year,year,#,#
830,",",",",#, 
831,and,and,#, 
832,after,after,#, 
833,various,various,#, 
834,delays,delay,#, 
835,I,I,#, 
836,came,come,#, 
837,East,East,#,#
838,",",",",#, 
839,permanently,permanently,#,#
840,",",",",#, 
841,I,I,#, 
842,thought,think,#,#
843,",",",",#, 
844,in,in,#, 
845,the,the,#, 
846,spring,spring,#, 
847,of,of,#, 
848,twenty,twenty,#,#
849,-,-,#,#
850,two,two,#,#
851,.,.,#, 
852,The,the,#, 
853,practical,practical,#, 
854,thing,thing,#, 
855,was,be,#, 
856,to,to,#, 
857,find,find,#, 
858,rooms,room,#, 
859,in,in,#, 
860,the,the,#, 
861,city,city,#,#
862,",",",",#, 
863,but,but,#, 
864,it,it,#, 
865,was,be,#, 
866,a,a,#, 
867,warm,warm,#, 
868,season,season,#,#
869,",",",",#, 
870,and,and,#, 
871,I,I,#, 
872,had,have,#, 
873,just,just,#, 
874,left,leave,#, 
875,a,a,#, 
876,country,country,#, 
877,of,of,#, 
878,wide,wide,#, 
879,lawns,lawn,#, 
880,and,and,#, 
881,friendly,friendly,#, 
882,trees,tree,#,#
883,",",",",#, 
884,so,so,#, 
885,when,when,#, 
886,a,a,#, 
887,young,young,#, 
888,man,man,#, 
889,at,at,#, 
890,the,the,#, 
891,office,office,#, 
892,suggested,suggest,#, 
893,that,that,#, 
894,we,we,#, 
895,take,take,#, 
896,a,a,#, 
897,house,house,#, 
898,together,together,#, 
899,in,in,#, 
900,a,a,#, 
901,commuting,commuting,#, 
902,town,town,#,#
903,",",",",#, 
904,it,it,#, 
905,sounded,sound,#, 
906,like,like,#, 
907,a,a,#, 
908,great,great,#, 
909,idea,idea,#,#
910,.,.,#, 
911,He,he,#, 
912,found,find,#, 
913,the,the,#, 
914,house,house,#,#
915,",",",",#, 
916,a,a,#, 
917,weather,weather,#,#
918,-,-,#,#
919,beaten,beat,#, 
920,cardboard,cardboard,#, 
921,bungalow,bungalow,#, 
922,at,at,#, 
923,eighty,eighty,#, 
924,a,a,#, 
925,month,month,#,#
926,",",",",#, 
927,but,but,#, 
928,at,at,#, 
929,the,the,#, 
930,last,last,#, 
931,minute,minute,#, 
932,the,the,#, 
933,firm,firm,#, 
934,ordered,order,#, 
935,him,he,#, 
936,to,to,#, 
937,Washington,Washington,#,#
938,",",",",#, 
939,and,and,#, 
940,I,I,#, 
941,went,go,#, 
942,out,out,#, 
943,to,to,#, 
944,the,the,#, 
945,country,country,#, 
946,alone,alone,#,#
947,.,.,#, 
948,I,I,#, 
949,had,have,#, 
950,a,a,#, 
951,dog,dog,#,#
952,-,-,#,#
953,at,at,#, 
954,least,least,#, 
955,I,I,#, 
956,had,have,#, 
957,him,he,#, 
958,for,for,#, 
959,a,a,#, 
960,few,few,#, 
961,days,day,#, 
962,until,until,#, 
963,he,he,#, 
964,ran,run,#, 
965,away,away,#,#
966,-,-,#,#
967,and,and,#, 
968,an,an,#, 
969,old,old,#, 
970,Dodge,Dodge,#, 
971,and,and,#, 
972,a,a,#, 
973,Finnish,finnish,#, 
974,woman,woman,#,#
975,",",",",#, 
976,who,who,#, 
977,made,make,#, 
978,my,my,#, 
979,bed,bed,#, 
980,and,and,#, 
981,cooked,cook,#, 
982,breakfast,breakfast,#, 
983,and,and,#, 
984,muttered,mutter,#, 
985,Finnish,finnish,#, 
986,wisdom,wisdom,#, 
987,to,to,#, 
988,herself,herself,#, 
989,over,over,#, 
990,the,the,#, 
991,electric,electric,#, 
992,stove,stove,#,#
993,.,.,#, 
994,It,it,#, 
995,was,be,#, 
996,lonely,lonely,#, 
997,for,for,#, 
998,a,a,#, 
999,day,day,#, 
1000,or,or,#, 
1001,so,so,#, 
1002,until,until,#, 
1003,one,one,#, 
1004,morning,morning,#, 
1005,some,some,#, 
1006,man,man,#,#
1007,",",",",#, 
1008,more,more,#, 
1009,recently,recently,#, 
1010,arrived,arrive,#, 
1011,than,than,#, 
1012,I,I,#,#
1013,",",",",#, 
1014,stopped,stop,#, 
1015,me,I,#, 
1016,on,on,#, 
1017,the,the,#, 
1018,road,road,#,#
1019,.,.,#, 
1020,"""",4922,#,#
1021,How,how,#, 
1022,do,do,#, 
1023,you,you,#, 
1024,get,get,#, 
1025,to,to,#, 
1026,West,West,#, 
1027,Egg,Egg,#, 
1028,village,village,#,#
1029,?,?,#,#
1030,"""",4958,#, 
1031,he,he,#, 
1032,asked,ask,#, 
1033,helplessly,helplessly,#,#
1034,.,.,#, 
1035,I,I,#, 
1036,told,tell,#, 
1037,him,he,#,#
1038,.,.,#, 
1039,And,and,#, 
1040,as,as,#, 
1041,I,I,#, 
1042,walked,walk,#, 
1043,on,on,#, 
1044,I,I,#, 
1045,was,be,#, 
1046,lonely,lonely,#, 
1047,no,no,#, 
1048,longer,long,#,#
1049,.,.,#, 
1050,I,I,#, 
1051,was,be,#, 
1052,a,a,#, 
1053,guide,guide,#,#
1054,",",",",#, 
1055,a,a,#, 
1056,pathfinder,pathfinder,#,#
1057,",",",",#, 
1058,an,an,#, 
1059,original,original,#, 
1060,settler,settler,#,#
1061,.,.,#, 
1062,He,he,#, 
1063,had,have,#, 
1064,casually,casually,#, 
1065,conferred,confer,#, 
1066,on,on,#, 
1067,me,I,#, 
1068,the,the,#, 
1069,freedom,freedom,#, 
1070,of,of,#, 
1071,the,the,#, 
1072,neighbourhood,neighbourhood,#,#
1073,.,.,#, 
1074,And,and,#, 
1075,so,so,#, 
1076,with,with,#, 
1077,the,the,#, 
1078,sunshine,sunshine,#, 
1079,and,and,#, 
1080,the,the,#, 
1081,great,great,#, 
1082,bursts,burst,#, 
1083,of,of,#, 
1084,leaves,leave,#, 
1085,growing,grow,#, 
1086,on,on,#, 
1087,the,the,#, 
1088,trees,tree,#,#
1089,",",",",#, 
1090,just,just,#, 
1091,as,as,#, 
1092,things,thing,#, 
1093,grow,grow,#, 
1094,in,in,#, 
1095,fast,fast,#, 
1096,movies,movie,#,#
1097,",",",",#, 
1098,I,I,#, 
1099,had,have,#, 
1100,that,that,#, 
1101,familiar,familiar,#, 
1102,conviction,conviction,#, 
1103,that,that,#, 
1104,life,life,#, 
1105,was,be,#, 
1106,beginning,begin,#, 
1107,over,over,#, 
1108,again,again,#, 
1109,with,with,#, 
1110,the,the,#, 
1111,summer,summer,#,#
1112,.,.,#, 
1113,There,there,#, 
1114,was,be,#, 
1115,so,so,#, 
1116,much,much,#, 
1117,to,to,#, 
1118,read,read,#,#
1119,",",",",#, 
1120,for,for,#, 
1121,one,one,#, 
1122,thing,thing,#,#
1123,",",",",#, 
1124,and,and,#, 
1125,so,so,#, 
1126,much,much,#, 
1127,fine,fine,#, 
1128,health,health,#, 
1129,to,to,#, 
1130,be,be,#, 
1131,pulled,pull,#, 
1132,down,down,#, 
1133,out,out,#, 
1134,of,of,#, 
1135,the,the,#, 
1136,young,young,#, 
1137,breath,breath,#,#
1138,-,-,#,#
1139,giving,give,#, 
1140,air,air,#,#
1141,.,.,#, 
1142,I,I,#, 
1143,bought,buy,#, 
1144,a,a,#, 
1145,dozen,dozen,#, 
1146,volumes,volume,#, 
1147,on,on,#, 
1148,banking,banking,#, 
1149,and,and,#, 
1150,credit,credit,#, 
1151,and,and,#, 
1152,investment,investment,#, 
1153,securities,security,#,#
1154,",",",",#, 
1155,and,and,#, 
1156,they,they,#, 
1157,stood,stand,#, 
1158,on,on,#, 
1159,my,my,#, 
1160,shelf,shelf,#, 
1161,in,in,#, 
1162,red,red,#, 
1163,and,and,#, 
1164,gold,gold,#, 
1165,like,like,#, 
1166,new,new,#, 
1167,money,money,#, 
1168,from,from,#, 
1169,the,the,#, 
1170,mint,mint,#,#
1171,",",",",#, 
1172,promising,promise,#, 
1173,to,to,#, 
1174,unfold,unfold,#, 
1175,the,the,#, 
1176,shining,shine,#, 
1177,secrets,secret,#, 
1178,that,that,#, 
1179,only,only,#, 
1180,Midas,Midas,#, 
1181,and,and,#, 
1182,Morgan,Morgan,#, 
1183,and,and,#, 
1184,Maecenas,Maecenas,#, 
1185,knew,know,#,#
1186,.,.,#, 
1187,And,and,#, 
1188,I,I,#, 
1189,had,have,#, 
1190,the,the,#, 
1191,high,high,#, 
1192,intention,intention,#, 
1193,of,of,#, 
1194,reading,read,#, 
1195,many,many,#, 
1196,other,other,#, 
1197,books,book,#, 
1198,besides,besides,#,#
1199,.,.,#, 
1200,I,I,#, 
1201,was,be,#, 
1202,rather,rather,#, 
1203,literary,literary,#, 
1204,in,in,#, 
1205,college,college,#,#
1206,-,-,#,#
1207,one,one,#, 
1208,year,year,#, 
1209,I,I,#, 
1210,wrote,write,#, 
1211,a,a,#, 
1212,series,series,#, 
1213,of,of,#, 
1214,very,very,#, 
1215,solemn,solemn,#, 
1216,and,and,#, 
1217,obvious,obvious,#, 
1218,editorials,editorial,#, 
1219,for,for,#, 
1220,the,the,#, 
1221,Yale,Yale,#, 
1222,News,News,#,#
1223,-,-,#,#
1224,and,and,#, 
1225,now,now,#, 
1226,I,I,#, 
1227,was,be,#, 
1228,going,go,#, 
1229,to,to,#, 
1230,bring,bring,#, 
1231,back,back,#, 
1232,all,all,#, 
1233,such,such,#, 
1234,things,thing,#, 
1235,into,into,#, 
1236,my,my,#, 
1237,life,life,#, 
1238,and,and,#, 
1239,become,become,#, 
1240,again,again,#, 
1241,that,that,#, 
1242,most,most,#, 
1243,limited,limited,#, 
1244,of,of,#, 
1245,all,all,#, 
1246,specialists,specialist,#,#
1247,",",",",#, 
1248,the,the,#, 
1249,"""",6005,#,#
1250,well,well,#,#
