,a,about,above,across,after,afterwards,again,against,all,almost,alone,along,already,also,although,always,am,among,amongst,amount,an,and,another,any,anyhow,anyone,anything,anyway,anywhere,are,around,as,at,back,be,became,because,become,becomes,becoming,been,before,behind,being,below,beside,besides,between,beyond,both,bottom,but,by,ca,call,can,could,did,do,does,doing,done,down,due,during,each,eight,either,eleven,else,elsewhere,empty,enough,even,ever,every,everyone,everything,everywhere,except,few,fifteen,fifty,first,five,for,former,formerly,forty,four,from,front,full,further,get,give,go,had,has,have,he,hence,her,here,hereafter,hereby,hers,herself,him,himself,his,how,however,hundred,i,if,in,indeed,into,is,it,its,itself,just,keep,last,latter,least,less,made,make,many,may,me,meanwhile,might,mine,more,moreover,most,mostly,move,much,must,my,myself,name,neither,never,nevertheless,next,nine,no,nobody,none,nor,not,nothing,now,nowhere,of,off,often,on,once,one,only,onto,or,other,others,otherwise,our,ours,ourselves,out,over,own,part,per,perhaps,please,put,quite,rather,re,really,regarding,same,say,see,seem,seemed,seeming,seems,serious,several,she,should,show,side,since,six,sixty,so,some,somehow,someone,something,sometime,sometimes,somewhere,still,such,take,ten,than,that,the,their,them,themselves,then,there,thereafter,thereby,therefore,therein,thereupon,these,they,third,this,those,though,three,through,throughout,thus,to,together,too,top,toward,towards,twelve,twenty,two,under,unless,until,up,upon,us,used,using,various,very,was,we,well,were,what,whatever,when,whence,whenever,where,whereas,wherein,whereupon,wherever,whether,which,while,whither,who,whoever,whole,whom,whose,why,will,with,within,without,would,yet,you,your,yours,yourself,yourselves,tbook,author
952,42,1,0,0,2,0,3,1,8,0,1,0,0,2,1,0,1,1,0,0,5,63,3,4,1,0,1,0,0,6,1,15,10,4,11,1,1,0,0,0,2,6,0,3,0,1,0,0,1,0,0,14,1,1,0,5,5,2,4,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,1,2,0,12,0,0,0,0,9,0,0,0,3,1,4,13,1,11,15,0,7,3,1,0,0,0,9,0,12,3,1,0,29,3,26,2,5,12,15,2,0,4,0,0,0,0,0,0,5,1,0,6,0,1,0,2,0,0,0,1,0,4,2,0,1,0,5,1,2,0,7,0,0,1,6,1,5,0,34,0,1,10,1,7,2,0,6,1,0,0,2,0,1,4,2,1,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,1,0,15,3,1,0,1,0,0,0,3,1,1,0,1,11,131,9,7,1,5,2,0,0,0,0,0,2,15,0,7,1,0,1,2,0,0,56,0,1,0,0,0,0,0,3,0,1,3,7,0,1,1,0,0,1,19,14,3,8,5,1,7,0,0,3,0,0,0,0,0,3,6,0,5,0,1,0,0,2,7,6,0,1,7,0,19,3,0,0,0,Magic_of_oz,B
953,43,2,0,3,4,0,2,0,10,0,1,0,0,0,1,2,2,0,0,0,6,62,2,4,1,1,0,0,0,5,3,19,9,4,12,1,1,2,0,0,1,5,0,2,0,0,0,0,0,0,0,13,3,4,0,6,6,2,10,0,0,0,3,0,0,1,0,1,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,12,1,0,0,0,5,0,0,0,2,4,1,15,0,5,25,0,7,3,0,0,0,0,9,0,12,1,1,0,15,5,19,0,9,8,23,2,0,8,2,0,0,0,0,1,0,1,0,4,0,1,0,4,0,1,0,0,0,2,2,0,0,0,2,0,1,0,7,0,0,0,6,1,3,0,37,0,0,8,1,6,1,0,3,1,1,0,2,0,0,5,2,3,0,0,0,0,2,1,0,0,1,0,0,2,4,0,1,0,0,0,0,6,1,1,2,0,0,0,16,1,0,0,1,0,0,0,2,0,1,0,2,14,128,5,11,1,6,7,0,0,0,0,0,1,4,0,4,4,1,1,6,0,0,40,1,1,1,0,1,0,0,4,0,0,1,5,2,7,0,0,0,0,17,15,3,8,4,0,8,0,0,5,0,0,0,0,0,5,2,0,7,0,0,1,0,2,7,9,0,2,7,0,27,4,0,1,0,Magic_of_oz,B
954,32,1,0,3,2,0,2,0,12,0,2,2,0,0,0,1,0,0,0,0,4,79,0,2,1,0,0,0,0,7,3,13,10,2,9,0,3,0,0,0,1,2,0,0,1,1,0,2,1,0,0,19,5,1,0,6,5,6,7,0,0,1,3,0,0,1,0,0,0,0,0,0,0,4,1,1,0,1,0,3,0,0,0,0,0,9,0,0,0,0,6,0,0,0,3,3,2,11,3,3,19,0,6,1,0,0,0,0,1,0,16,2,1,0,24,4,19,0,6,8,14,2,0,2,2,1,0,0,0,2,2,1,1,1,0,2,1,3,0,0,0,0,2,3,4,1,0,0,1,0,1,0,7,0,0,1,11,1,7,0,38,0,1,5,1,8,5,0,1,1,0,0,2,0,1,2,1,0,0,0,1,0,0,2,1,0,0,0,1,1,2,1,1,0,0,0,0,5,3,0,2,0,0,0,7,5,0,0,1,0,0,0,0,2,1,0,2,19,147,11,5,0,7,5,0,0,1,0,0,2,12,0,9,2,0,1,1,1,0,50,3,3,2,0,0,0,0,0,0,0,2,3,2,5,1,0,0,2,18,12,5,7,7,1,4,0,0,2,0,0,0,0,0,1,2,0,8,0,0,0,0,2,6,14,0,0,4,1,22,2,0,0,0,Magic_of_oz,B
955,34,3,0,1,0,0,2,0,11,0,0,0,0,2,1,0,0,0,0,0,6,62,3,4,0,0,2,1,0,6,3,11,12,2,11,0,1,0,0,0,4,2,0,2,0,1,0,0,0,0,0,9,6,0,0,5,6,3,8,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,3,0,0,0,2,0,12,1,0,0,0,6,0,0,0,7,3,1,5,2,7,19,0,11,6,0,0,0,3,7,1,20,5,1,0,21,8,19,3,6,7,28,7,0,0,0,0,0,0,0,2,0,3,1,4,0,6,0,4,0,1,0,0,1,3,7,2,1,0,1,0,1,0,5,0,0,2,7,4,4,0,44,1,0,12,0,3,1,0,2,1,2,0,2,0,0,4,5,3,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,6,1,1,4,0,0,0,13,2,0,0,0,0,0,0,0,0,1,0,2,28,121,3,13,0,3,7,0,0,0,0,0,2,18,0,4,2,0,1,2,0,0,51,1,3,0,0,0,0,0,0,0,0,0,3,2,3,0,0,0,5,7,9,2,10,2,0,6,0,0,3,0,0,0,0,0,4,1,0,5,0,1,0,0,1,9,10,0,1,4,0,23,2,0,0,0,Magic_of_oz,B
956,24,3,0,1,1,0,0,2,12,2,1,0,1,3,0,1,0,0,0,0,2,76,1,3,0,0,1,0,0,5,1,9,7,6,10,1,2,3,0,0,4,1,0,3,0,1,0,0,0,2,0,12,6,5,0,7,7,5,5,2,0,0,4,1,1,1,0,0,0,0,0,0,1,3,0,4,0,0,0,0,1,0,1,2,0,8,0,0,0,0,4,0,0,0,1,1,5,8,1,6,26,0,4,2,0,0,0,0,4,0,10,2,1,0,28,1,15,2,6,2,23,3,0,3,0,1,0,0,0,1,6,0,0,6,0,1,0,2,0,1,0,0,0,2,3,1,0,1,2,1,1,0,7,0,0,0,10,1,8,0,34,2,1,8,3,6,2,0,5,4,0,0,3,0,0,3,2,2,0,0,0,0,1,2,2,0,1,0,0,2,3,1,0,0,0,0,0,8,0,0,2,0,1,0,14,3,0,0,0,0,0,0,0,1,1,0,2,17,141,4,8,0,5,5,0,0,0,0,0,3,14,0,9,1,0,1,2,0,0,51,1,3,0,0,0,0,0,2,1,0,0,2,3,5,1,0,0,2,20,10,3,4,7,0,3,0,0,3,0,0,0,0,0,4,2,0,6,0,1,0,0,1,7,14,0,1,5,0,28,3,0,0,0,Magic_of_oz,B
957,34,1,0,1,3,0,5,0,8,1,0,0,0,0,1,1,0,0,0,0,0,70,2,2,0,1,0,1,0,10,2,15,12,3,11,1,1,0,0,0,1,2,0,2,0,1,0,1,0,2,0,9,1,1,0,5,9,3,9,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,2,1,0,0,1,0,18,1,0,0,1,6,0,0,0,5,2,8,12,0,8,21,0,8,1,0,0,0,1,4,1,13,2,0,0,20,8,18,0,8,11,21,2,0,2,0,1,0,0,0,3,0,1,1,1,0,4,1,5,0,2,0,0,0,2,7,0,0,0,3,0,1,0,4,0,0,0,8,3,4,0,44,1,0,8,2,2,2,0,2,2,1,0,1,0,0,1,4,0,1,0,0,0,1,1,0,0,0,0,1,0,4,0,1,0,0,0,0,5,0,0,2,0,1,0,15,3,0,1,1,0,0,0,0,2,2,0,4,15,140,6,8,0,8,5,0,0,0,0,0,3,18,0,5,1,0,1,3,0,0,50,2,1,0,1,0,0,0,4,0,0,0,4,2,3,0,0,0,1,21,12,2,8,4,0,4,0,0,3,0,0,0,0,0,7,1,0,5,0,1,0,0,2,9,3,0,0,3,1,13,5,0,1,0,Magic_of_oz,B
958,35,2,0,2,1,0,3,1,9,2,0,1,0,1,1,0,0,0,0,0,8,76,1,2,1,1,2,0,0,8,3,16,8,2,12,0,2,1,0,0,1,3,0,2,1,1,0,1,0,0,0,13,6,2,0,6,4,5,4,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,11,0,1,0,0,7,0,1,0,3,3,1,14,1,6,18,0,4,2,1,0,0,1,10,2,10,1,0,0,31,5,18,2,7,3,29,3,1,0,0,0,0,0,0,4,4,0,0,5,0,2,0,4,0,2,0,1,0,2,3,0,1,1,3,0,0,0,6,0,0,1,4,1,4,0,38,3,1,9,2,5,0,0,2,2,0,0,3,0,0,1,2,0,1,0,0,1,1,1,1,0,1,0,0,2,2,1,1,0,2,0,0,3,1,0,0,0,2,0,12,2,0,0,0,0,0,1,2,1,2,0,3,26,126,7,13,1,6,4,0,0,2,0,0,3,11,0,6,1,0,0,3,0,0,38,2,0,2,1,0,1,0,3,2,1,2,2,3,6,1,0,0,4,17,10,1,7,3,0,3,0,0,4,0,0,0,1,0,1,0,0,7,0,0,1,0,2,5,13,0,1,2,2,21,5,1,0,0,Magic_of_oz,B
959,31,1,0,0,3,0,5,0,11,2,1,1,0,0,0,3,1,0,0,0,3,69,0,3,0,0,1,0,0,10,1,10,7,4,8,1,1,3,0,1,3,2,1,2,0,0,0,0,0,2,0,10,10,0,0,6,8,3,12,0,1,0,2,1,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,6,0,0,0,1,11,0,0,0,3,4,1,4,1,6,28,0,9,4,0,0,0,0,4,2,7,2,1,0,29,4,22,1,4,6,22,2,0,2,3,1,0,0,0,3,0,1,1,5,0,1,0,3,0,1,0,1,1,2,8,1,1,0,2,0,1,0,11,0,0,1,5,3,3,0,31,0,1,10,0,8,3,0,5,3,0,0,2,0,0,3,0,2,1,0,3,1,1,0,0,0,3,0,0,1,2,1,1,0,0,0,0,6,0,0,1,0,0,0,11,5,0,0,1,0,0,0,0,1,3,0,3,25,126,10,9,1,4,5,0,0,0,0,0,1,14,0,5,0,0,2,1,0,0,46,1,2,1,0,1,0,0,2,0,0,1,3,3,4,2,0,0,3,15,13,2,7,8,0,4,0,0,6,0,0,0,1,0,6,1,0,5,0,0,0,0,1,10,10,0,0,6,0,19,3,0,1,0,Magic_of_oz,B
960,32,2,0,1,2,0,3,0,10,0,0,0,0,1,0,0,2,1,0,0,3,83,1,2,0,0,0,1,0,12,0,11,6,0,9,0,1,3,0,0,3,1,1,1,1,1,0,0,1,0,0,13,5,3,0,12,5,5,3,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,11,0,0,0,0,8,1,0,0,6,2,0,5,0,5,22,0,11,3,0,0,0,2,8,0,11,3,1,0,24,2,9,1,10,11,28,1,0,1,0,1,0,0,0,2,2,0,2,1,0,2,1,2,0,2,0,0,3,2,9,0,0,0,0,0,2,0,7,0,0,0,7,0,2,0,51,2,0,9,1,1,3,0,9,2,0,0,6,0,0,3,3,2,0,0,0,1,1,0,0,0,1,0,0,1,3,1,0,0,0,0,1,6,0,0,1,0,0,0,12,0,1,0,2,0,0,1,1,0,0,0,2,22,121,10,11,0,5,3,0,0,0,0,0,3,19,0,5,0,0,0,4,0,0,54,1,2,0,0,0,0,0,3,0,1,1,2,2,5,0,0,0,1,22,10,5,5,4,0,1,0,1,3,0,0,0,0,1,5,2,0,5,0,0,0,0,0,8,7,0,1,10,0,16,8,1,0,0,Magic_of_oz,B
961,44,2,0,2,5,0,4,1,9,2,1,0,0,0,0,5,1,0,0,0,7,56,2,2,1,0,3,0,0,4,4,7,7,5,8,0,3,1,0,0,2,2,0,0,0,0,0,0,0,0,1,15,6,1,0,8,12,2,7,3,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13,0,0,0,1,4,0,0,0,8,0,4,12,3,4,17,0,12,3,0,0,0,0,4,0,7,2,1,0,19,7,16,1,5,9,19,0,1,2,4,1,0,0,0,7,4,1,0,6,0,3,0,3,0,4,0,1,2,3,5,1,0,1,1,0,2,0,5,0,0,1,13,4,9,0,36,1,1,10,0,7,3,0,5,2,0,0,3,1,0,5,1,2,1,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,7,0,0,1,0,0,0,10,2,0,0,4,0,0,1,0,1,1,0,0,21,117,7,10,0,8,6,0,0,0,0,0,0,14,0,7,2,0,3,1,1,0,47,0,3,2,0,0,0,0,1,0,1,1,3,2,4,1,0,0,3,20,11,4,4,2,0,9,0,0,4,0,0,0,0,0,4,1,0,6,0,0,0,1,1,10,11,0,2,6,0,17,4,0,0,0,Magic_of_oz,B
962,36,1,0,1,2,0,3,1,7,0,1,1,0,1,1,2,0,0,0,0,9,66,4,2,1,0,0,0,0,4,1,15,11,2,8,0,4,1,0,0,1,2,2,1,0,2,0,2,0,2,0,9,4,2,0,4,6,4,11,1,1,0,2,0,1,1,0,0,0,0,0,0,2,3,2,0,1,1,0,1,0,0,0,2,0,11,0,0,0,0,11,0,1,0,5,2,1,8,4,2,27,0,7,2,1,0,0,1,9,1,10,2,2,1,24,7,21,2,5,7,21,6,0,5,2,0,0,0,1,0,2,0,0,7,0,1,2,2,0,1,0,0,1,2,4,0,0,1,2,0,1,0,8,0,1,0,11,0,3,0,39,1,0,7,2,3,2,0,5,5,0,0,3,0,0,5,1,1,0,0,1,0,1,3,0,0,0,0,1,1,3,0,0,0,1,0,0,6,1,0,0,1,1,0,8,1,0,0,0,0,0,0,1,1,1,0,2,19,122,3,4,0,10,2,0,0,0,0,0,5,14,1,6,1,1,1,0,0,0,57,1,2,1,1,0,1,0,3,0,1,2,3,2,7,0,0,0,5,9,8,4,5,2,0,6,0,0,5,0,0,0,0,1,3,1,0,8,0,1,0,0,5,4,8,0,1,5,0,23,5,0,0,0,Magic_of_oz,B
963,37,2,1,1,1,0,3,0,9,0,0,0,0,2,0,1,2,1,0,0,6,70,3,2,0,1,2,0,1,15,1,14,9,2,10,1,1,0,0,0,2,3,1,2,0,0,0,0,1,0,0,11,11,1,0,3,7,1,9,0,0,0,3,0,0,1,0,1,0,2,0,0,1,2,2,1,3,0,0,0,3,0,0,0,0,9,0,0,0,0,4,0,0,0,4,2,4,8,0,5,19,0,8,1,0,0,0,1,4,1,9,3,0,0,24,3,19,0,3,11,20,2,0,2,1,1,0,0,0,1,2,2,1,3,0,0,1,2,0,2,0,0,1,3,6,0,0,1,2,0,0,0,7,0,0,0,11,1,2,0,24,0,1,12,1,7,2,0,5,3,0,0,2,0,0,2,1,2,1,0,0,0,1,1,0,0,1,0,1,1,3,0,0,0,1,0,0,7,0,0,1,0,2,0,14,3,0,0,1,0,0,0,2,1,4,0,2,16,136,9,12,0,5,4,0,0,1,0,0,1,15,0,6,3,0,1,2,0,0,50,1,1,1,2,0,0,0,5,0,0,1,6,2,3,0,0,0,2,25,3,1,5,3,0,7,0,0,4,0,0,0,0,0,6,2,0,9,0,0,0,0,1,9,9,0,0,4,2,29,2,0,0,0,Magic_of_oz,B
964,36,3,1,1,2,0,2,0,10,0,1,0,0,1,2,1,1,0,0,0,6,59,2,4,1,0,1,0,0,10,1,11,10,2,8,1,2,2,0,0,1,2,0,3,0,1,0,0,0,1,0,14,4,4,1,8,8,5,7,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,9,0,0,0,0,9,0,1,0,2,1,4,10,3,5,21,0,12,3,1,0,0,0,9,1,14,3,2,0,25,8,18,0,6,9,24,2,0,5,1,0,0,0,0,1,5,0,0,6,0,2,0,4,0,1,0,0,2,3,2,4,0,1,3,0,0,0,6,0,1,1,10,0,1,0,36,0,0,9,0,6,3,0,5,2,1,0,2,0,0,6,1,0,0,0,0,0,0,3,0,0,0,0,1,2,2,0,0,0,1,0,0,5,1,0,1,0,2,0,11,5,0,0,1,0,0,0,2,1,2,0,6,23,120,5,7,1,7,5,0,0,0,0,0,0,13,0,4,3,0,1,4,0,0,39,4,1,2,0,0,0,0,1,0,0,2,1,1,4,1,0,0,0,16,12,4,7,1,0,6,0,0,6,0,0,0,0,2,2,0,0,9,0,1,1,1,2,9,11,0,2,7,1,23,1,0,0,0,Magic_of_oz,B
965,27,0,0,2,2,0,4,0,18,0,1,0,0,0,0,1,2,0,0,0,3,63,2,4,0,0,1,0,0,9,3,11,5,3,12,1,1,2,0,0,3,4,3,1,1,0,0,0,1,0,0,12,7,3,0,7,5,1,9,0,1,0,2,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,13,0,0,0,1,6,0,0,0,7,2,5,13,3,8,22,0,9,4,0,0,0,0,6,2,13,4,0,0,30,10,13,0,5,6,16,3,0,2,0,1,0,0,0,1,5,0,0,5,0,3,0,4,0,0,1,1,2,1,1,3,2,0,1,0,1,0,4,0,0,0,10,1,4,0,43,2,0,10,1,5,3,1,3,2,0,0,1,0,0,5,4,1,1,0,0,1,1,1,0,0,1,0,0,2,3,0,2,0,0,0,0,5,1,0,0,0,0,0,10,4,0,0,0,0,0,1,0,2,3,0,5,20,111,6,8,1,5,6,0,0,0,0,0,0,15,0,7,1,0,1,2,0,0,53,0,2,0,1,0,0,0,1,2,1,1,3,3,8,1,0,0,4,13,9,2,9,3,0,1,0,0,5,0,0,0,1,1,6,1,0,7,0,0,0,0,0,7,10,0,1,7,1,27,4,0,1,0,Magic_of_oz,B
966,27,2,0,2,2,0,2,1,9,1,0,1,0,3,1,2,0,0,0,0,6,86,4,0,1,0,2,0,0,4,2,6,9,5,12,0,3,0,0,0,2,3,1,1,1,1,0,0,0,1,1,13,7,1,0,7,4,2,9,2,0,0,4,0,0,1,0,0,0,0,0,0,1,2,1,2,0,1,0,0,1,0,0,2,0,13,0,0,0,2,5,0,3,0,3,1,8,13,0,5,21,0,5,1,0,0,0,0,4,0,12,2,1,1,23,4,15,3,10,13,26,3,0,4,1,1,0,0,0,2,2,2,1,3,0,0,0,5,0,0,0,1,2,4,2,1,0,0,0,0,1,0,12,0,0,0,6,0,8,0,27,1,1,8,7,3,2,0,5,2,2,0,2,0,0,1,4,1,1,0,0,0,1,2,1,0,0,0,0,1,3,0,0,0,0,0,0,6,1,0,0,0,1,0,11,0,0,0,0,0,1,0,0,1,2,0,2,21,121,8,7,0,5,2,0,0,0,0,0,2,8,0,10,3,0,0,4,0,0,46,2,1,1,0,0,0,0,3,0,0,1,2,1,5,0,0,0,1,27,10,4,7,6,0,3,0,0,2,0,0,0,0,0,3,4,0,3,0,0,0,0,3,8,8,0,1,9,1,22,6,0,0,0,Magic_of_oz,B
967,30,0,0,3,1,0,2,0,13,1,0,0,2,1,0,0,1,0,0,0,4,64,5,1,0,0,1,0,0,10,2,19,11,2,10,2,2,0,0,0,3,4,0,0,0,0,0,1,0,0,0,9,4,0,1,9,4,4,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,9,0,0,0,1,4,0,1,0,3,2,1,13,3,10,10,0,5,3,0,0,0,1,6,0,13,1,3,0,38,6,27,1,3,11,23,4,0,2,1,0,0,0,0,4,1,1,0,2,0,0,0,2,0,1,0,0,3,1,7,2,2,0,4,1,0,0,8,0,0,0,8,1,1,0,38,0,0,9,1,6,5,1,4,5,1,0,3,0,0,4,1,1,2,0,1,2,1,0,0,0,2,0,2,1,1,0,0,0,0,0,0,5,0,0,2,1,2,0,10,5,0,0,1,0,0,0,1,0,0,0,0,17,111,9,9,0,9,4,0,0,1,0,0,1,9,1,8,0,1,1,1,0,0,39,0,3,1,1,0,0,0,3,3,0,0,6,4,9,0,0,0,1,24,12,1,7,10,0,11,0,1,1,0,0,0,0,0,4,1,0,6,0,0,0,1,1,5,10,0,0,9,1,23,4,0,0,0,Magic_of_oz,B
968,43,3,2,2,1,0,4,0,10,0,1,2,0,0,0,0,1,1,0,0,7,67,3,3,3,2,1,1,0,10,2,6,5,3,9,0,2,2,0,0,3,1,1,0,0,2,0,0,0,0,0,12,3,1,0,9,7,5,10,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,4,0,0,1,1,0,1,0,0,0,0,7,0,0,0,0,7,0,1,0,7,0,7,12,1,7,22,0,11,2,0,0,0,0,7,1,10,2,0,0,25,5,24,0,5,11,18,4,1,2,4,0,0,0,1,0,5,1,1,4,0,1,0,1,0,1,0,0,1,0,6,0,0,1,4,0,1,0,5,0,1,0,7,1,6,0,36,0,0,14,3,4,2,1,1,2,1,0,5,0,0,1,3,1,1,0,1,0,1,1,0,0,0,0,0,2,3,0,0,0,2,0,0,11,3,1,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,2,18,133,5,6,0,8,2,0,0,0,0,0,1,11,1,3,1,0,0,1,0,0,47,2,1,0,0,0,0,0,2,0,0,2,1,0,7,0,0,0,3,20,8,1,7,9,0,11,0,0,7,0,0,0,0,1,2,2,0,8,0,0,0,0,2,3,11,0,1,5,0,14,2,0,0,0,Magic_of_oz,B
969,36,0,1,0,0,0,4,0,10,0,0,0,1,0,2,1,0,2,0,0,5,80,1,1,1,1,1,0,0,9,1,15,7,1,8,1,2,2,0,0,2,3,1,1,1,0,0,1,1,0,0,12,4,4,0,6,7,5,8,1,0,0,2,0,0,0,0,0,0,1,0,0,1,2,4,2,0,0,0,0,0,0,1,2,0,8,0,0,0,0,5,0,0,0,4,1,1,7,2,5,21,0,5,1,0,0,0,1,6,2,14,2,1,0,19,9,14,0,4,10,20,2,0,3,1,1,0,0,0,1,5,0,1,5,0,1,0,1,0,0,0,0,0,3,1,1,0,0,0,0,1,0,8,0,0,1,14,1,3,0,37,1,1,10,1,4,2,0,2,4,2,0,3,0,0,2,0,2,0,0,2,0,0,1,1,0,0,0,1,1,3,0,0,0,0,0,1,7,0,0,1,0,0,0,18,2,0,0,0,0,0,0,1,1,0,0,1,18,145,2,10,1,13,5,0,0,0,0,0,3,13,0,7,1,0,0,0,1,0,42,1,2,0,0,0,0,0,1,0,0,4,3,3,5,0,0,0,4,22,10,1,5,4,1,3,0,0,4,0,0,0,0,1,3,3,0,8,0,0,0,1,1,5,12,0,1,7,0,28,3,0,0,0,Magic_of_oz,B
970,42,2,0,2,3,0,2,1,9,0,1,0,1,2,1,0,0,0,0,0,2,58,2,4,0,0,0,0,0,9,5,9,5,2,14,0,2,1,0,0,2,1,0,1,0,0,0,1,0,2,0,10,8,2,1,5,6,3,8,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,3,0,0,1,1,1,0,0,0,1,0,9,0,0,0,1,11,0,0,0,4,1,1,16,2,3,20,0,5,2,0,0,0,0,10,0,9,2,0,0,28,3,16,1,5,5,18,1,0,4,1,2,0,0,0,2,1,3,0,6,0,2,0,6,0,0,0,0,2,4,5,1,0,0,4,0,0,0,7,0,0,0,9,3,4,0,36,0,1,7,2,9,1,0,1,2,1,0,3,0,0,4,6,1,0,0,0,0,1,0,0,0,1,0,1,3,6,1,0,0,0,0,0,5,0,0,0,0,1,0,9,4,0,0,1,0,0,0,4,1,2,0,1,28,143,7,11,0,4,5,0,0,0,0,0,0,13,0,2,0,0,3,2,0,0,43,0,1,1,0,0,1,1,1,0,1,2,2,2,2,0,0,0,1,15,15,4,16,8,0,5,0,0,5,0,0,0,0,1,4,4,0,2,0,0,1,0,3,5,7,0,2,4,1,25,2,0,0,0,Magic_of_oz,B
971,43,1,1,1,1,0,4,2,6,0,1,1,0,3,1,0,3,2,0,0,4,67,3,1,1,0,1,0,1,5,0,7,11,3,6,0,1,0,0,0,3,6,0,0,0,0,0,0,0,1,1,12,4,3,0,5,8,6,8,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,1,0,0,1,0,0,0,0,0,10,0,0,0,0,4,0,0,0,3,0,2,4,2,5,23,0,13,5,0,0,0,0,3,2,12,2,0,0,18,9,26,0,4,11,25,3,1,0,0,1,0,0,0,1,3,0,1,6,0,1,1,3,0,1,1,0,0,0,2,0,0,0,1,0,0,0,3,0,1,0,9,0,5,0,46,1,0,8,1,4,2,1,1,3,0,0,4,0,0,1,3,1,0,0,0,0,5,1,0,0,1,0,0,1,3,1,1,0,0,0,0,8,0,1,1,0,0,0,13,9,0,0,2,0,0,0,0,0,1,0,3,22,129,7,10,0,8,1,0,0,1,0,0,2,12,1,4,2,0,0,2,0,1,57,2,2,2,1,0,2,0,2,2,1,0,2,2,3,1,0,0,1,15,8,3,9,5,1,2,0,0,1,0,0,0,0,1,6,2,0,11,0,0,0,0,1,7,9,0,0,10,0,17,1,0,1,0,Magic_of_oz,B
972,34,2,1,1,2,0,5,1,6,0,1,0,2,0,2,1,0,1,0,0,4,74,2,5,0,0,1,0,0,7,3,8,5,1,11,0,2,2,0,0,3,5,0,0,1,1,0,0,0,3,0,7,1,1,0,9,7,5,13,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,2,1,0,11,1,0,0,1,4,0,0,0,3,2,1,9,3,4,21,0,13,4,1,0,0,0,4,1,8,2,0,0,28,7,15,0,6,10,24,5,0,0,1,0,0,0,0,0,2,0,0,5,0,1,1,1,0,2,0,1,1,0,2,2,0,0,1,0,1,0,6,0,0,2,8,1,1,0,51,0,0,9,1,3,1,0,7,2,0,0,4,0,0,0,3,2,1,0,0,0,1,1,1,0,3,0,1,0,4,1,2,0,0,0,0,5,0,0,0,0,1,0,9,4,0,0,1,0,1,0,3,1,0,0,0,23,130,2,9,0,6,6,0,0,1,0,0,2,15,0,9,1,0,2,2,0,0,49,3,0,1,0,0,0,0,2,0,0,0,6,0,5,0,0,0,4,21,11,4,9,6,1,5,0,0,1,0,0,0,0,0,4,3,0,7,0,0,2,0,1,3,5,0,0,6,1,27,1,0,2,1,Magic_of_oz,B
973,37,2,0,0,1,0,0,0,6,2,3,1,2,0,3,0,0,2,0,1,4,83,2,4,0,2,0,0,0,8,1,19,5,3,7,1,1,1,0,0,4,1,1,3,0,0,0,0,0,1,0,17,5,1,0,4,6,3,6,0,0,0,4,0,0,1,0,1,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,1,0,10,0,0,0,0,8,0,0,0,3,0,1,6,1,3,19,0,5,8,0,0,0,0,5,3,18,1,1,0,27,3,25,0,8,9,28,5,0,4,0,0,0,0,0,0,3,1,1,6,0,1,1,1,0,0,0,1,3,1,5,1,0,1,1,0,1,0,6,0,0,0,9,0,3,0,40,2,0,7,2,6,4,1,1,3,1,0,2,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,1,1,3,0,1,0,0,0,0,5,0,0,0,0,2,0,12,4,0,0,1,0,0,1,1,1,1,0,0,21,130,11,11,0,8,5,0,0,0,0,0,3,11,0,6,2,0,1,3,0,0,44,1,2,1,0,0,0,0,1,0,0,2,6,1,5,0,0,0,4,15,13,4,10,5,0,1,0,0,4,0,0,0,0,1,0,1,0,4,0,1,1,0,1,6,7,0,0,4,1,17,3,0,0,0,Magic_of_oz,B
