,a,about,above,across,after,afterwards,again,against,all,almost,alone,along,already,also,although,always,am,among,amongst,amount,an,and,another,any,anyhow,anyone,anything,anyway,anywhere,are,around,as,at,back,be,became,because,become,becomes,becoming,been,before,behind,being,below,beside,besides,between,beyond,both,bottom,but,by,ca,call,can,could,did,do,does,doing,done,down,due,during,each,eight,either,eleven,else,elsewhere,empty,enough,even,ever,every,everyone,everything,everywhere,except,few,fifteen,fifty,first,five,for,former,formerly,forty,four,from,front,full,further,get,give,go,had,has,have,he,hence,her,here,hereafter,hereby,hers,herself,him,himself,his,how,however,hundred,i,if,in,indeed,into,is,it,its,itself,just,keep,last,latter,least,less,made,make,many,may,me,meanwhile,might,mine,more,moreover,most,mostly,move,much,must,my,myself,name,neither,never,nevertheless,next,nine,no,nobody,none,nor,not,nothing,now,nowhere,of,off,often,on,once,one,only,onto,or,other,others,otherwise,our,ours,ourselves,out,over,own,part,per,perhaps,please,put,quite,rather,re,really,regarding,same,say,see,seem,seemed,seeming,seems,serious,several,she,should,show,side,since,six,sixty,so,some,somehow,someone,something,sometime,sometimes,somewhere,still,such,take,ten,than,that,the,their,them,themselves,then,there,thereafter,thereby,therefore,therein,thereupon,these,they,third,this,those,though,three,through,throughout,thus,to,together,too,top,toward,towards,twelve,twenty,two,under,unless,until,up,upon,us,used,using,various,very,was,we,well,were,what,whatever,when,whence,whenever,where,whereas,wherein,whereupon,wherever,whether,which,while,whither,who,whoever,whole,whom,whose,why,will,with,within,without,would,yet,you,your,yours,yourself,yourselves,tbook,author
10,39,3,0,0,3,0,2,2,8,0,0,2,0,2,1,2,1,0,0,0,4,59,3,4,1,0,1,0,1,10,3,5,17,3,9,1,1,0,0,0,0,2,0,2,0,1,0,0,0,2,0,14,5,1,0,4,3,0,5,3,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,16,0,0,0,2,10,0,1,0,2,1,2,11,1,2,17,0,8,4,0,0,0,0,9,0,11,0,0,1,21,4,29,0,2,12,20,2,0,2,1,1,0,0,0,3,1,2,0,4,0,0,0,4,0,3,0,0,2,4,3,1,1,0,1,0,1,0,5,0,1,2,5,1,2,0,48,2,1,5,3,9,0,0,3,3,0,0,1,0,0,10,0,0,0,0,1,0,1,3,0,0,0,0,2,0,4,0,0,0,0,0,2,11,0,0,3,0,2,0,11,1,0,0,0,0,0,0,0,1,3,0,5,14,108,6,12,0,7,6,0,0,0,0,0,1,13,0,10,1,0,2,1,0,0,50,1,1,1,2,0,1,0,1,1,0,1,8,3,2,3,0,1,1,28,15,0,6,3,1,6,0,0,5,0,0,0,2,0,7,3,0,4,0,1,1,0,2,6,12,0,1,7,1,16,3,0,0,0,Dorothy_and_the_wizard_in_oz,B
11,48,4,1,0,5,0,4,0,8,1,0,0,0,0,0,0,2,0,1,0,2,59,4,8,0,0,0,0,0,3,1,8,9,1,7,0,2,0,0,0,2,2,0,2,0,0,0,0,0,0,1,8,5,0,0,5,4,6,6,0,0,0,3,0,0,2,0,0,0,0,0,1,2,2,0,0,0,1,0,0,2,0,0,2,3,9,0,0,0,1,9,1,0,0,2,0,2,12,1,6,11,0,6,4,0,0,0,0,4,3,12,4,0,0,37,3,28,1,3,9,13,3,0,1,0,0,0,1,0,2,4,3,2,8,0,0,0,1,0,0,0,0,4,2,9,0,0,0,3,0,1,1,10,0,0,0,5,0,3,0,39,1,1,11,1,9,0,0,3,2,1,1,3,0,0,5,3,1,0,0,1,2,0,4,0,0,0,0,1,0,6,0,2,0,1,0,1,13,1,0,2,0,1,1,8,4,0,0,1,0,0,0,5,0,1,0,4,19,137,6,8,0,3,3,0,0,0,0,0,1,19,0,6,2,0,1,3,0,0,42,0,2,2,0,0,0,0,4,2,0,3,6,2,4,0,0,0,7,16,10,1,8,1,0,4,0,0,1,0,0,0,0,1,2,0,0,3,0,0,0,0,2,5,10,0,2,5,2,20,3,0,1,0,Dorothy_and_the_wizard_in_oz,B
12,47,3,0,0,2,0,2,0,8,1,1,0,0,2,1,0,3,0,0,0,3,68,2,4,0,0,0,0,0,11,2,13,6,3,11,0,5,0,0,0,1,3,0,0,1,1,0,0,2,0,0,11,3,2,0,4,8,5,7,0,0,0,4,0,1,1,0,0,0,0,0,0,0,2,2,1,0,1,0,0,1,0,0,1,0,12,0,0,0,1,6,0,0,0,2,3,0,11,2,4,17,0,6,3,1,0,0,0,3,1,11,3,0,0,25,5,20,0,6,12,18,0,0,3,0,1,0,0,0,1,3,4,1,2,0,1,0,0,0,1,0,0,1,0,6,3,0,1,0,0,0,0,4,0,0,1,13,0,5,0,43,0,1,4,3,7,1,0,3,0,0,0,0,0,0,7,5,1,0,0,1,0,1,3,1,0,1,0,1,1,4,0,0,0,0,0,2,8,1,1,1,0,1,0,9,2,0,0,1,0,1,0,1,3,0,0,4,15,139,9,12,0,8,8,0,0,0,0,0,4,11,0,7,3,1,0,0,0,0,39,2,2,0,2,0,0,0,0,0,0,0,2,5,3,0,0,0,7,23,13,4,7,2,0,7,0,0,3,0,0,0,0,3,4,2,0,5,0,0,0,0,4,4,9,0,1,4,1,17,2,0,0,0,Dorothy_and_the_wizard_in_oz,B
13,35,2,0,1,5,0,3,0,1,0,0,2,1,2,2,1,0,0,0,0,3,75,3,2,0,0,1,1,0,4,1,7,8,0,11,0,3,0,0,0,2,4,1,2,0,1,0,0,0,0,0,12,2,0,0,3,4,7,7,0,0,0,6,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,7,1,0,2,6,0,1,13,2,6,24,0,11,4,0,0,0,0,4,1,13,5,1,0,20,7,25,1,4,10,25,4,0,7,2,3,0,0,0,1,3,2,1,6,0,0,0,4,0,0,0,0,5,0,7,0,0,0,1,0,1,1,6,1,0,0,9,1,5,0,33,0,1,5,4,4,4,1,5,0,1,1,2,0,0,5,2,0,2,0,0,1,0,0,0,0,1,0,1,1,4,0,1,0,0,0,3,9,0,0,1,2,1,0,6,3,0,0,0,0,1,0,0,1,0,0,2,21,150,5,6,0,5,7,0,0,0,0,0,1,17,0,5,2,0,0,2,0,0,34,2,0,2,1,0,0,0,0,1,0,3,2,1,5,1,0,0,3,16,5,2,9,5,0,4,0,0,6,0,0,0,0,0,5,2,0,4,0,1,0,0,2,5,11,0,1,2,0,24,2,0,1,0,Dorothy_and_the_wizard_in_oz,B
14,36,1,0,1,2,0,6,0,13,3,0,0,0,2,1,0,1,0,0,0,2,72,3,3,0,0,0,1,0,10,4,8,6,4,12,0,1,0,0,0,4,1,1,1,1,0,0,2,0,0,1,17,3,4,0,3,4,1,8,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,1,1,0,0,0,0,4,0,0,3,0,11,0,0,0,0,6,1,0,0,1,1,2,15,1,2,13,0,9,2,0,0,0,1,3,0,10,4,0,0,26,5,22,0,2,6,20,4,0,3,0,2,0,0,0,1,3,1,0,3,0,0,0,7,0,1,0,0,3,2,6,0,0,1,1,0,2,0,7,0,0,1,5,2,10,0,47,1,1,7,5,4,1,0,2,2,0,0,3,0,1,3,2,2,0,0,0,1,0,2,0,0,0,0,1,1,5,0,0,0,0,0,2,9,2,0,3,1,0,0,16,5,0,0,0,0,0,0,0,0,1,0,0,16,130,6,8,1,6,4,0,0,0,0,0,1,18,0,5,3,0,0,1,0,0,50,1,1,1,1,0,1,0,4,2,0,2,7,6,2,0,0,0,6,15,9,1,6,0,0,3,0,0,1,0,1,0,0,1,5,2,0,3,0,0,0,0,1,7,18,0,0,6,1,19,1,0,0,0,Dorothy_and_the_wizard_in_oz,B
15,36,4,0,0,1,0,2,1,9,2,0,1,0,1,1,1,2,1,0,1,4,53,3,1,0,0,1,0,1,8,7,14,15,2,6,0,1,2,0,0,5,0,0,1,1,1,0,0,0,1,0,19,11,1,2,5,3,4,2,0,0,0,3,0,0,1,1,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,3,1,11,0,0,0,1,8,0,0,0,4,0,0,5,1,8,16,0,10,2,0,0,0,1,2,1,13,2,0,0,25,5,25,0,1,10,18,5,0,3,1,1,0,0,0,2,3,3,0,5,0,2,0,3,0,0,0,1,4,3,7,0,0,0,0,0,1,2,5,0,0,1,10,1,4,0,37,0,2,8,1,3,1,0,3,5,0,0,4,0,0,6,7,2,0,0,1,3,0,2,0,0,2,0,1,0,3,0,0,0,1,0,0,7,1,0,1,0,2,0,11,2,0,0,0,0,0,0,2,0,0,0,1,22,117,11,11,1,3,7,0,0,0,0,0,2,18,1,8,4,0,3,2,0,0,34,1,0,1,2,0,0,0,3,2,1,1,4,5,5,0,0,1,2,22,8,4,14,7,0,1,0,0,2,0,0,0,1,0,3,1,0,3,0,0,0,0,0,5,19,0,1,3,0,26,1,0,0,0,Dorothy_and_the_wizard_in_oz,B
16,40,2,0,0,6,0,3,0,7,2,0,0,0,1,1,0,2,0,0,0,0,59,2,6,0,0,0,0,0,4,2,8,9,2,14,0,3,1,0,0,4,2,1,0,0,0,0,0,0,0,1,11,4,1,1,7,9,1,8,0,0,1,5,0,0,1,0,1,0,0,0,0,1,2,2,0,0,0,0,1,1,0,0,2,1,10,1,0,0,3,7,0,2,0,3,0,1,14,3,3,15,0,7,2,0,0,0,1,6,0,8,0,0,0,26,6,26,1,5,12,21,0,0,5,1,3,0,0,0,3,0,0,2,10,0,2,0,2,0,1,0,0,1,0,13,1,0,0,3,0,2,0,5,0,0,0,12,1,3,0,52,1,0,6,3,6,1,0,4,2,0,0,6,0,0,2,5,0,1,0,1,0,2,3,0,0,2,0,1,1,6,0,1,0,1,1,2,8,0,0,0,1,0,0,15,2,1,0,0,0,0,0,1,2,1,0,2,12,126,5,7,1,9,4,0,0,0,0,0,4,19,0,3,2,0,0,2,0,0,39,1,1,1,1,0,1,0,2,1,1,2,4,3,2,0,0,0,5,10,6,4,14,3,0,4,0,0,4,0,0,0,0,2,4,1,0,3,0,0,0,1,5,6,10,0,2,2,1,19,2,1,0,0,Dorothy_and_the_wizard_in_oz,B
17,47,3,1,0,3,0,2,0,8,2,1,1,0,1,3,1,1,0,0,0,2,70,6,1,0,0,0,0,0,12,4,9,6,3,6,0,1,0,0,0,4,6,0,2,1,0,0,0,0,0,1,14,7,0,0,2,5,3,5,1,1,0,3,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,1,6,0,0,0,0,1,1,14,0,3,11,0,13,3,0,0,0,1,3,1,8,1,0,0,20,5,20,0,5,5,25,1,0,3,0,1,0,0,0,2,0,2,2,4,0,2,0,5,0,1,0,0,3,1,9,0,0,1,0,0,0,1,5,1,1,0,5,1,2,0,42,0,1,2,4,5,1,0,4,4,1,0,1,0,1,6,0,1,1,0,1,1,1,2,1,0,0,0,0,1,3,2,1,0,0,0,2,11,1,1,0,0,0,0,9,5,0,0,0,0,0,0,2,3,0,0,2,23,120,5,15,1,6,7,0,0,1,0,0,2,18,0,7,5,1,0,3,0,0,53,2,1,1,0,0,1,0,2,0,0,1,8,7,2,0,0,0,6,19,8,2,3,3,1,4,0,1,2,0,0,0,0,1,5,1,0,6,0,0,0,0,1,4,15,0,0,5,2,27,2,0,1,0,Dorothy_and_the_wizard_in_oz,B
18,39,0,0,1,1,0,2,0,10,0,0,0,1,2,2,1,2,0,0,0,1,60,2,3,0,0,1,0,0,6,0,8,10,1,9,0,4,0,0,0,2,1,0,2,0,0,0,1,0,0,0,18,1,0,0,7,5,4,6,1,0,1,2,0,0,0,0,1,0,2,0,1,1,0,2,2,1,0,0,0,1,0,0,1,0,6,0,0,0,0,9,0,0,0,2,1,1,5,1,5,23,0,6,3,0,0,0,2,5,0,16,2,0,0,17,3,26,1,1,12,15,4,0,3,0,0,0,0,1,3,0,2,2,4,0,0,0,2,0,2,0,0,4,5,7,2,0,0,0,0,1,2,4,0,0,1,14,2,3,0,43,1,1,8,4,11,1,0,2,3,0,0,0,0,0,4,1,2,0,0,1,1,2,1,0,0,1,0,0,0,6,0,3,0,1,0,3,17,0,1,2,0,0,0,9,3,0,0,2,0,0,0,1,1,0,0,2,25,129,3,13,1,3,3,0,0,0,0,0,3,16,0,8,0,1,0,3,0,0,42,0,0,2,1,0,0,0,3,0,0,3,3,5,3,0,0,0,8,32,13,3,12,4,0,7,0,0,1,0,0,0,0,1,5,2,0,3,0,0,0,0,4,0,13,0,1,2,1,17,4,0,0,0,Dorothy_and_the_wizard_in_oz,B
19,38,4,0,0,2,0,2,0,5,2,0,1,0,2,1,1,0,0,0,0,1,69,1,7,0,0,0,0,2,10,3,8,7,3,7,0,0,2,0,0,2,1,0,2,1,0,0,2,0,0,0,18,3,0,0,5,7,5,1,0,1,0,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,12,0,0,0,1,6,1,1,1,2,1,2,10,3,7,25,0,5,6,0,0,0,0,5,0,10,2,0,0,20,8,30,0,6,14,20,2,0,2,1,1,0,0,1,4,5,0,1,6,0,1,0,1,0,1,0,0,2,0,10,0,0,1,0,0,0,1,5,0,1,0,8,1,4,0,36,0,0,5,1,5,1,0,4,3,0,0,2,0,0,2,5,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2,0,1,0,1,10,0,0,4,1,2,0,14,3,0,0,0,0,2,0,1,1,0,0,4,22,127,7,12,2,1,5,0,0,0,0,0,3,11,0,7,4,1,3,2,0,0,43,0,1,1,2,0,0,0,4,2,1,2,10,2,2,1,0,0,2,12,10,2,13,3,0,3,0,0,4,0,0,0,0,0,4,4,0,5,0,0,0,0,1,6,16,0,0,5,0,16,5,1,0,0,Dorothy_and_the_wizard_in_oz,B
